,count_of_comments,id,number_of_likes,owner_id,owner_username,product_type,shortcode,snapshot_date,title,video_duration_seconds,video_view_count,igtv_post_count,show_overview_summary
0,885,2106426009485172975,77156,18100510,fallontonight,igtv,B07h0uZAeDv,1565328968,Ron Burgundy (Will Ferrell) has beef with Shawn Mendes,381.443,621599,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
1,1538,2106016409141171632,75646,18100510,fallontonight,igtv,B06EsQWANWw,1565277126,Jimmy and @queereye’s Fab Five ride The BEAST,161.65,674844,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
2,2339,2104937767438964184,171091,18100510,fallontonight,igtv,B02Pb8-gNXY,1565148807,Jimmy & @postmalone go head-to-head in Beer Pong,112.034,1412490,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
3,638,2104201049777838695,54942,18100510,fallontonight,igtv,B0zn7TMAxpn,1565064384,Cue Card Cold Read w/ @juliannemoore,169.352,533934,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
4,2742,2104046348780292966,160896,18100510,fallontonight,igtv,B0zEwGqActm,1565042147,Jimmy addresses the El Paso and Dayton tragedies,66.216,1055153,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
5,1712,2100212279642669859,96810,18100510,fallontonight,igtv,B0lc_DhA8Mj,1564586604,We Test How Well @QueerEye’s Fab Five Know Each Other,423.438,1567810,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
6,1117,2098177148605997241,154189,18100510,fallontonight,igtv,B0eOQACgKC5,1564343113,#SummerSongs with @camila_cabello,359.857,1837322,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
7,238,2096592103466527348,57251,18100510,fallontonight,igtv,B0Yl2juAup0,1564156659,Summer Science with Resident Science Expert Kevin Delaney,376.66,882050,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
8,790,2094085767491016572,97387,18100510,fallontonight,igtv,B0Pr-kcgNd8,1563855141,Wheel of Opinions with @davidspade,178.694,1126786,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
9,316,2091518402010140628,45949,18100510,fallontonight,igtv,B0GkOfBAc_U,1563548632,Mad Lib Theater With @Kenanthompson And @Joemanganiello,163.216,506552,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
10,1894,2089413403725531516,107828,18100510,fallontonight,igtv,Bz_FmumAAl8,1563297949,Jimmy and @stephenathome Perform the “NeverEnding Story” Duet,90.241,895277,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
11,4807,2088017653548469690,330675,18100510,fallontonight,igtv,Bz6IP48gE26,1563131260,@jackblack gives us a taste of the Sax-A-Boom,61.111,2275957,51,"6.2m Followers, 1,813 Following, 2,171 Posts"
12,133,2106846805458477677,14442,255788740,agt,igtv,B09BgHLhOJt,1565375815,Always remember the golden moments.,90.175,66325,84,"1.3m Followers, 762 Following, 5,065 Posts"
13,218,2104876158817780060,21325,255788740,agt,igtv,B02BbbehcFc,1565141074,@ecsleights blew our minds and possibly stole our wallets. ?? #JudgeCuts,352.944,104381,84,"1.3m Followers, 762 Following, 5,065 Posts"
14,670,2104870854239656802,41995,255788740,agt,igtv,B02AOPNBxti,1565140444,"Meet Jay Leno’s Golden Buzzer, @emannebeasha.",307.9,200632,84,"1.3m Followers, 762 Following, 5,065 Posts"
15,213,2104855232193681413,26963,255788740,agt,igtv,B018q6ChtgF,1565138463,No one could’ve predicted @marina_mazepa’s shocking performance! ?,280.936,141449,84,"1.3m Followers, 762 Following, 5,065 Posts"
16,477,2101689118324267552,33819,255788740,agt,igtv,B0qsx4uBZog,1564761050,@beniciobryant steps up with the perfect original song for #JudgeCuts!,164.983,140257,84,"1.3m Followers, 762 Following, 5,065 Posts"
17,324,2099792375472581756,26579,255788740,agt,igtv,B0j9gpSHex8,1564534999,@LBKidsOfficial lit it up and punched their golden ticket to lives!,435.253,139879,84,"1.3m Followers, 762 Following, 5,065 Posts"
18,538,2099785554837923607,42676,255788740,agt,igtv,B0j79ZEnGcX,1564534292,It’s just a matter of time until you see @AnsleyBurns’ name in lights!,359.244,242388,84,"1.3m Followers, 762 Following, 5,065 Posts"
19,309,2099764648505831421,27737,255788740,agt,igtv,B0j3NKiHO_9,1564531783,How many movies can you name from @gregmortoncomic’s performance?,215.694,119955,84,"1.3m Followers, 762 Following, 5,065 Posts"
20,68,2098831248142599661,12478,255788740,agt,igtv,B0gi-ZtB4Xt,1564420262,"@elliekemper is guest judging this week, and we think she’s pretty ?.",92.008,77800,84,"1.3m Followers, 762 Following, 5,065 Posts"
21,137,2096619959961864100,16861,255788740,agt,igtv,B0YsL7GhUek,1564156828,@Duplaotempooficial are having a good time on their way UP!,229.076,103409,84,"1.3m Followers, 762 Following, 5,065 Posts"
22,198,2094730138305776312,16268,255788740,agt,igtv,B0R-fZiBUq4,1563931650,"No sitting, just rockin’ and rollin’! #JudgeCuts",251.773,91492,84,"1.3m Followers, 762 Following, 5,065 Posts"
23,1214,2094718745057724141,54214,255788740,agt,igtv,B0R75mvhIbt,1563930348,@v.unbeatable_official_india defies gravity!,491.646,249821,84,"1.3m Followers, 762 Following, 5,065 Posts"
